Date,Open,High,Low,Close,Adj Close,Volume
2021-06-26,0.237673,0.255127,0.230972,0.244784,0.244784,2649457302
2021-06-27,0.246045,0.266891,0.240894,0.264450,0.264450,2167521670
2021-06-28,0.264918,0.266982,0.250762,0.256857,0.256857,1932994784
2021-06-29,0.257061,0.274940,0.252988,0.262769,0.262769,2192562738
2021-06-30,0.263417,0.263538,0.238268,0.254215,0.254215,2047763830
2021-07-01,0.253828,0.260092,0.238677,0.244549,0.244549,2463946548
2021-07-02,0.243982,0.247997,0.238848,0.245264,0.245264,1321470954
2021-07-03,0.245106,0.250214,0.242454,0.246411,0.246411,917015819
2021-07-04,0.246425,0.252567,0.243425,0.246483,0.246483,973511519
2021-07-05,0.246419,0.246419,0.227838,0.231614,0.231614,1267949362
2021-07-06,0.231216,0.241910,0.229842,0.234422,0.234422,1265920169
2021-07-07,0.234301,0.237851,0.222576,0.224126,0.224126,1148903688
2021-07-08,0.224383,0.224930,0.202987,0.207597,0.207597,1789637577
2021-07-09,0.207073,0.229139,0.196607,0.219864,0.219864,3045790264
2021-07-10,0.219846,0.227681,0.210745,0.213920,0.213920,1264519098
2021-07-11,0.213887,0.218745,0.210931,0.215856,0.215856,719870047
2021-07-12,0.216010,0.218965,0.204506,0.208048,0.208048,973602708
2021-07-13,0.208009,0.208062,0.198163,0.200003,0.200003,1035890377
2021-07-14,0.199978,0.204483,0.187752,0.197324,0.197324,1319171299
2021-07-15,0.197749,0.200840,0.180786,0.184888,0.184888,1044558931
2021-07-16,0.185238,0.188322,0.171612,0.172345,0.172345,1144730187
2021-07-17,0.172118,0.204937,0.169230,0.186125,0.186125,2393120423
2021-07-18,0.186841,0.195788,0.180886,0.182233,0.182233,1424484163
2021-07-19,0.181818,0.183950,0.170712,0.173556,0.173556,1084816777
2021-07-20,0.173763,0.178895,0.160728,0.170801,0.170801,1809479230
2021-07-21,0.170527,0.214210,0.168719,0.190349,0.190349,4433688120
2021-07-22,0.190480,0.196404,0.186664,0.191303,0.191303,1629442360
2021-07-23,0.191359,0.199531,0.183540,0.194764,0.194764,1447257649
2021-07-24,0.194823,0.204369,0.191344,0.197319,0.197319,1695867808
2021-07-25,0.197173,0.200451,0.191697,0.197864,0.197864,1256116971
2021-07-26,0.198030,0.232767,0.197063,0.204419,0.204419,4863225852
2021-07-27,0.203836,0.209293,0.195350,0.205899,0.205899,2229903212
2021-07-28,0.206111,0.213746,0.202011,0.205392,0.205392,2076707890
2021-07-29,0.205591,0.206355,0.200716,0.204619,0.204619,1169322798
2021-07-30,0.205023,0.210643,0.196535,0.208821,0.208821,1523981522
2021-07-31,0.208638,0.214345,0.204897,0.208314,0.208314,1349212924
2021-08-01,0.207753,0.217611,0.201389,0.204437,0.204437,1711494501
2021-08-02,0.204279,0.209959,0.202188,0.203600,0.203600,1181469976
2021-08-03,0.203431,0.205077,0.193750,0.195967,0.195967,1121632377
2021-08-04,0.196312,0.203110,0.194450,0.201490,0.201490,1095300718
2021-08-05,0.201575,0.202513,0.194685,0.200974,0.200974,1139204754
2021-08-06,0.200960,0.211756,0.198617,0.204688,0.204688,1332579279
2021-08-07,0.204846,0.261990,0.203772,0.260341,0.260341,6343062404
2021-08-08,0.261956,0.281379,0.235348,0.240045,0.240045,6984782653
2021-08-09,0.240122,0.266265,0.231410,0.256897,0.256897,4607903346
2021-08-10,0.256366,0.262791,0.245352,0.257325,0.257325,3424415504
2021-08-11,0.257424,0.282482,0.256382,0.265263,0.265263,4732068476
2021-08-12,0.264853,0.294142,0.252775,0.263921,0.263921,5264857508
2021-08-13,0.264249,0.287188,0.261907,0.286808,0.286808,3565092106
2021-08-14,0.286801,0.298456,0.277154,0.293113,0.293113,4677579997
2021-08-15,0.294086,0.348722,0.287063,0.341441,0.341441,8046171669
2021-08-16,0.340165,0.350953,0.310828,0.320715,0.320715,6681324187
2021-08-17,0.319631,0.339462,0.295763,0.299442,0.299442,5699700481
2021-08-18,0.299203,0.324227,0.282016,0.303739,0.303739,6347995770
2021-08-19,0.303376,0.319018,0.294088,0.317144,0.317144,3760495939
2021-08-20,0.317571,0.333223,0.314142,0.327491,0.327491,3512291078
2021-08-21,0.327395,0.329356,0.315433,0.316797,0.316797,2600396651
2021-08-22,0.317085,0.321541,0.306546,0.314963,0.314963,2237836352
2021-08-23,0.314926,0.328094,0.313368,0.317914,0.317914,2836628655
2021-08-24,0.318386,0.319757,0.277777,0.288739,0.288739,3143768703
2021-08-25,0.289218,0.296815,0.279995,0.292226,0.292226,2518743227
2021-08-26,0.292794,0.296002,0.265313,0.268909,0.268909,2410285454
2021-08-27,0.268819,0.294845,0.265392,0.294433,0.294433,2382150423
2021-08-28,0.294631,0.299170,0.283273,0.285629,0.285629,1534807298
2021-08-29,0.285863,0.291663,0.277486,0.281125,0.281125,1473623363
2021-08-30,0.281233,0.289559,0.270375,0.272125,0.272125,1748987269
2021-08-31,0.271878,0.285819,0.270047,0.278453,0.278453,1745967018
2021-09-01,0.278062,0.294889,0.273526,0.294401,0.294401,1937809622
2021-09-02,0.294393,0.309227,0.292010,0.295955,0.295955,2981069411
2021-09-03,0.294754,0.304494,0.288541,0.296273,0.296273,2384046931
2021-09-04,0.296068,0.308731,0.293342,0.299388,0.299388,2263193245
2021-09-05,0.299324,0.315009,0.296582,0.314527,0.314527,2393033527
2021-09-06,0.314315,0.319751,0.300451,0.308765,0.308765,2611846129
2021-09-07,0.308951,0.311030,0.216527,0.253744,0.253744,5653327525
2021-09-08,0.254266,0.263290,0.234864,0.257113,0.257113,3226346052
2021-09-09,0.250362,0.259558,0.249270,0.252596,0.252596,1763183557
2021-09-10,0.252585,0.261622,0.235909,0.239982,0.239982,1840815800
2021-09-11,0.239826,0.248018,0.238487,0.241432,0.241432,1196337689
2021-09-12,0.241329,0.254794,0.239233,0.250617,0.250617,1419288866
2021-09-13,0.250624,0.252031,0.228911,0.235906,0.235906,1759116002
2021-09-14,0.236063,0.241678,0.233962,0.240709,0.240709,967948743
2021-09-15,0.240590,0.248322,0.239215,0.247697,0.247697,980188820
2021-09-16,0.247542,0.247733,0.233852,0.242555,0.242555,1140048496
2021-09-17,0.242098,0.259535,0.238026,0.239930,0.239930,2246768047
2021-09-18,0.239928,0.247328,0.238228,0.241386,0.241386,999151515
2021-09-19,0.241281,0.241285,0.231337,0.233142,0.233142,892763953
2021-09-20,0.233161,0.233606,0.200022,0.207071,0.207071,2244003542
2021-09-21,0.208773,0.218094,0.198161,0.201027,0.201027,1766963639
2021-09-22,0.200822,0.229423,0.200224,0.224858,0.224858,2016471206
2021-09-23,0.224748,0.227095,0.218115,0.224832,0.224832,1169581249
2021-09-24,0.224726,0.228267,0.197720,0.209451,0.209451,1883155313
2021-09-25,0.209348,0.212604,0.204875,0.208640,0.208640,1067132277
2021-09-26,0.208730,0.209068,0.194489,0.204962,0.204962,1147321467
2021-09-27,0.205241,0.209281,0.200078,0.200262,0.200262,838297166
2021-09-28,0.200001,0.202579,0.196352,0.196804,0.196804,866301240
2021-09-29,0.196980,0.204144,0.195042,0.198876,0.198876,926737135
2021-09-30,0.198869,0.205806,0.197855,0.204244,0.204244,916819792
2021-10-01,0.204427,0.224607,0.201994,0.223010,0.223010,1435469263
2021-10-02,0.222741,0.224955,0.215493,0.219133,0.219133,1166058975
2021-10-03,0.218811,0.226228,0.215872,0.221748,0.221748,1070267896
2021-10-04,0.221930,0.247924,0.213284,0.240852,0.240852,3684051106
2021-10-05,0.241754,0.247913,0.235894,0.236820,0.236820,3954312704
